Время, ID Пользователя, Пользователь, Ввод, Результат
2023-02-07 21:26:27.467719, 827608858, @Lisssachka, 2+5*6, 32.0
2023-02-07 21:29:43.910414, 827608858, @Lisssachka, 5+2-5, 2.0
2023-02-07 21:30:39.559536, 827608858, @Lisssachka, 5+2-5, 2.0
2023-02-07 21:31:40.837437, 827608858, @Lisssachka, 5+2-5, 2.0
2023-02-07 21:32:29.317649, 827608858, @Lisssachka, 5+2-5, 2.0
2023-02-07 21:34:20.164382, 827608858, @Lisssachka, 2+5-3, 4.0
2023-02-08 10:18:55.401628, 827608858, @Lisssachka, 2+3-5, 0.0
2023-02-08 10:26:06.193113, 827608858, @Lisssachka, 2+3-5, 0.0
2023-02-08 10:27:35.048474, 827608858, @Lisssachka, 2+6-4, 4.0
2023-02-08 10:29:04.003127, 827608858, @Lisssachka, 2+8-6, 4.0
